2025-01-22 17:56:57,117 - WARNING - 01-22-2025 05:56:56 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:57:02,251 - WARNING - 01-22-2025 05:57:02 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:57:07,264 - WARNING - 01-22-2025 05:57:07 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:57:12,393 - WARNING - 01-22-2025 05:57:12 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:57:17,411 - WARNING - 01-22-2025 05:57:17 PM | sensor: 1, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.77000
2025-01-22 17:57:22,552 - WARNING - 01-22-2025 05:57:22 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:57:27,558 - WARNING - 01-22-2025 05:57:27 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:57:32,696 - WARNING - 01-22-2025 05:57:32 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:57:37,706 - WARNING - 01-22-2025 05:57:37 PM | sensor: 2, wheatstone voltage:  0.00000, range: 0, log amp voltage:  1372.10000, battery voltage:  3.74000
2025-01-22 17:59:43,935 - INFO - 01-22-2025 05:59:43 PM | sensor: 3, wheatstone voltage:  1.57841, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 17:59:49,069 - INFO - 01-22-2025 05:59:49 PM | sensor: 3, wheatstone voltage:  1.57841, range: 0, log amp voltage:  0.00000, battery voltage:  3.75800
2025-01-22 17:59:54,083 - INFO - 01-22-2025 05:59:53 PM | sensor: 4, wheatstone voltage:  1.66329, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
2025-01-22 17:59:59,221 - INFO - 01-22-2025 05:59:59 PM | sensor: 4, wheatstone voltage:  1.66329, range: 0, log amp voltage:  0.00000, battery voltage:  3.76300
